id;latitude;longitude;scientific_name;common_name;taxon_id;year
191514016;10.83425833;-85.61151167;Odocoileus virginianus;Venado de cola blanca;42223;2023
193075115;10.89222165;-85.59993736;Odocoileus virginianus;Venado de cola blanca;42223;2023
194201148;10.83868603;-85.61765546;Odocoileus virginianus;Venado de cola blanca;42223;2022
194317858;10.77394231;-85.3499813;Odocoileus virginianus;Venado de cola blanca;42223;2023
195645498;10.88953531;-85.77780964;Odocoileus virginianus;Venado de cola blanca;42223;2024
195648806;10.92790808;-85.76976316;Odocoileus virginianus;Venado de cola blanca;42223;2023
195648807;10.98414598;-85.60413904;Odocoileus virginianus;Venado de cola blanca;42223;2023
195648808;10.96109005;-85.70939779;Odocoileus virginianus;Venado de cola blanca;42223;2023
195956611;10.70938131;-85.59717973;Odocoileus virginianus;Venado de cola blanca;42223;2023
195997559;10.8339908;-85.6268764;Odocoileus virginianus;Venado de cola blanca;42223;2023
197363032;10.83558512;-85.61472645;Odocoileus virginianus;Venado de cola blanca;42223;2024
197810182;10.83766172;-85.61909483;Odocoileus virginianus;Venado de cola blanca;42223;2024
198738108;10.89084244;-85.59873199;Odocoileus virginianus;Venado de cola blanca;42223;2024
199386262;10.8440384;-85.6734842;Odocoileus virginianus;Venado de cola blanca;42223;2008
199552153;10.83240531;-85.63346916;Odocoileus virginianus;Venado de cola blanca;42223;2024
199552161;10.82501775;-85.63472479;Odocoileus virginianus;Venado de cola blanca;42223;2024
202894890;10.83935;-85.61842167;Odocoileus virginianus;Venado de cola blanca;42223;2024
202914415;10.836125;-85.61668333;Odocoileus virginianus;Venado de cola blanca;42223;2024
202916513;10.836505;-85.613595;Odocoileus virginianus;Venado de cola blanca;42223;2024
205009613;10.83798991;-85.61887051;Odocoileus virginianus;Venado de cola blanca;42223;2024
205778706;10.8384002;-85.6181361;Odocoileus virginianus;Venado de cola blanca;42223;2024
209185068;10.89151906;-85.59997492;Odocoileus virginianus;Venado de cola blanca;42223;2024
209289359;10.83843333;-85.61808;Odocoileus virginianus;Venado de cola blanca;42223;2024
209598726;10.63015167;-85.67685;Odocoileus virginianus;Venado de cola blanca;42223;2024
213435668;10.89068049;-85.60000726;Odocoileus virginianus;Venado de cola blanca;42223;2024
216038609;10.89534444;-85.59629627;Odocoileus virginianus;Venado de cola blanca;42223;2024
219113397;10.83673629;-85.68388011;Odocoileus virginianus;Venado de cola blanca;42223;2024
220293402;10.76134147;-85.35764469;Odocoileus virginianus;Venado de cola blanca;42223;2024
221450045;10.61205248;-85.68704528;Odocoileus virginianus;Venado de cola blanca;42223;2024
224730971;10.835245;-85.61412167;Odocoileus virginianus;Venado de cola blanca;42223;2023
226791702;10.63794406;-85.66206672;Odocoileus virginianus;Venado de cola blanca;42223;2024
229375400;10.84256208;-85.67800479;Odocoileus virginianus;Venado de cola blanca;42223;2024
229375401;10.84605675;-85.6837057;Odocoileus virginianus;Venado de cola blanca;42223;2024
230078727;10.83367434;-85.61158271;Odocoileus virginianus;Venado de cola blanca;42223;2013
230766905;10.89042582;-85.59995422;Odocoileus virginianus;Venado de cola blanca;42223;2024
232589166;10.83788;-85.61803333;Odocoileus virginianus;Venado de cola blanca;42223;2024
232790097;10.83805;-85.61460833;Odocoileus virginianus;Venado de cola blanca;42223;2024
232791639;10.64745463;-85.65397191;Odocoileus virginianus;Venado de cola blanca;42223;2024
232977254;10.81827782;-85.63492214;Odocoileus virginianus;Venado de cola blanca;42223;2024
233151101;10.83682221;-85.61284399;Odocoileus virginianus;Venado de cola blanca;42223;2024
233276621;10.77966667;-85.66404667;Odocoileus virginianus;Venado de cola blanca;42223;2024
233891718;10.77987167;-85.6641;Odocoileus virginianus;Venado de cola blanca;42223;2024
236008003;10.77069167;-85.34445;Odocoileus virginianus;Venado de cola blanca;42223;2024
237401950;10.839089;-85.6182428;Odocoileus virginianus;Venado de cola blanca;42223;2024
237861374;10.89063168;-85.59958649;Odocoileus virginianus;Venado de cola blanca;42223;2024
237972108;10.64728;-85.65409167;Odocoileus virginianus;Venado de cola blanca;42223;2024
239519921;10.87663976;-85.58958615;Odocoileus virginianus;Venado de cola blanca;42223;2013
240033400;10.79286333;-85.65872167;Odocoileus virginianus;Venado de cola blanca;42223;2023
242682301;10.89128794;-85.6000185;Odocoileus virginianus;Venado de cola blanca;42223;2024
246354102;10.876291;-85.608252;Odocoileus virginianus;Venado de cola blanca;42223;2024
246354315;10.876291;-85.608252;Odocoileus virginianus;Venado de cola blanca;42223;2024
246384676;10.8559495;-85.61086435;Odocoileus virginianus;Venado de cola blanca;42223;2024
246394476;10.836775;-85.61480833;Odocoileus virginianus;Venado de cola blanca;42223;2024
